année,moyenne_anxiete,moyenne_anxiete_inf,moyenne_anxiete_sup,moyenne_depression,moyenne_depression_inf,moyenne_depression_sup,moyenne_pbsommeil,moyenne_pbsommeil_inf,moyenne_pbsommeil_sup,moyenne_ps12mois,moyenne_ps12mois_inf,moyenne_ps12mois_sup,baseline depression,baseline anxiete,baseline sommeil ,comparison_depression,comparison_anxiete,comparison_sommeil
mars 2020,26.7,24.8,28.7,,,,,,,,,,9.8,13.5,49.4,0,13.2,0
avril 2020,19.2,17.5,21,19.3,17.6,21.1,64.5,62.3,66.5,,,,,,,9.5,5.7,15.1
mai 2020,17.4,15.7,19.1,14.3,12.8,15.9,65.6,63.5,67.7,,,,,,,4.5,3.9,16.2
juin 2020,15.5,14,17.2,11.3,10,12.8,63.4,61.2,65.5,,,,,,,1.5,2,14
juillet 2020,17.3,15.7,19.1,11.1,9.8,12.6,64.7,62.6,66.9,,,,,,,1.3,3.8,15.3
août 2020,17.5,15.8,19.3,11.7,10.4,13.2,64.6,62.4,66.7,,,,,,,1.9,4,15.2
septembre 2020,18,16.3,19.9,10.9,9.6,12.5,65.8,63.6,67.9,,,,,,,1.1,4.5,16.4
octobre 2020,19.1,17.4,20.9,15.5,14,17.2,64.5,62.3,66.6,,,,,,,5.7,5.6,15.1
novembre 2020,19.7,18,21.6,21.6,19.8,23.5,64.4,62.3,66.5,,,,,,,11.8,6.2,15
décembre 2020,20.3,18.5,22.1,20.5,18.8,22.4,66.2,64.1,68.3,,,,,,,10.7,6.8,16.8
janvier 2021,19.2,17.5,21.1,19.5,17.8,21.3,67,64.8,69.1,,,,,,,9.7,5.7,17.6
février 2021,22.7,20.9,24.6,22.7,20.9,24.6,65.8,63.6,67.9,8.2,7.1,9.6,,,,12.9,9.2,16.4
mars 2021,20.7,19,22.6,20.2,18.5,22.1,65.3,63.2,67.4,9,7.7,10.4,,,,10.4,7.2,15.9
avril 2021,22.3,20.5,24.2,22,20.3,24,64,61.9,66.2,9.4,8.1,10.8,,,,12.2,8.8,14.6
mai 2021,20.6,18.8,22.5,19,17.3,20.9,63.6,61.4,65.7,8.5,7.3,9.8,,,,9.2,7.1,14.2
juin 2021,18.9,17.3,20.8,15,13.5,16.7,66.3,64.1,68.4,9.2,8,10.6,,,,5.2,5.4,16.9
juillet 2021,19.4,17.7,21.3,12.9,11.4,14.5,59.2,56.9,61.4,9.1,7.8,10.5,,,,3.1,5.9,9.8
août 2021,23.3,21.5,25.2,15,13.5,16.6,63,60.8,65.1,9.8,8.6,11.2,,,,5.2,9.8,13.6
septembre 2021,25.9,24,27.9,16.3,14.7,18,69.8,67.7,71.8,9.7,8.4,11,,,,6.5,12.4,20.4
,,,,,,,,,,,,,,,,,,