reg;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;ps12mois;ps12mois_inf;ps12mois_sup
11;Vague 1 : 23-25 mars;30,1;25,6;35,0;;;;;;;;;
24;Vague 1 : 23-25 mars;24,3;15,7;35,6;;;;;;;;;
27;Vague 1 : 23-25 mars;33,0;24,1;43,3;;;;;;;;;
28;Vague 1 : 23-25 mars;24,7;17,2;34,2;;;;;;;;;
32;Vague 1 : 23-25 mars;29,6;23,4;36,5;;;;;;;;;
44;Vague 1 : 23-25 mars;29,5;23,2;36,8;;;;;;;;;
52;Vague 1 : 23-25 mars;26,3;19,1;35,2;;;;;;;;;
53;Vague 1 : 23-25 mars;25,0;17,5;34,5;;;;;;;;;
75;Vague 1 : 23-25 mars;22,9;17,5;29,4;;;;;;;;;
76;Vague 1 : 23-25 mars;22,6;17,2;29,2;;;;;;;;;
84;Vague 1 : 23-25 mars;26,4;21,3;32,3;;;;;;;;;
93;Vague 1 : 23-25 mars;22,7;16,8;30,1;;;;;;;;;
11;Vague 2 : 30 mars-1 avr;19,4;15,6;23,9;20,6;16,7;25,1;63,5;58,4;68,4;;;
24;Vague 2 : 30 mars-1 avr;22,4;14,4;33,2;27,7;18,8;38,8;61,7;50,4;71,9;;;
27;Vague 2 : 30 mars-1 avr;17,6;10,9;27,3;17,8;11,1;27,2;55,0;44,6;65,1;;;
28;Vague 2 : 30 mars-1 avr;22,8;15,7;31,8;19,0;12,6;27,7;60,9;51,2;69,8;;;
32;Vague 2 : 30 mars-1 avr;22,6;17,2;29,1;16,4;11,8;22,3;64,9;57,8;71,4;;;
44;Vague 2 : 30 mars-1 avr;26,4;20,4;33,5;25,2;19,3;32,2;60,5;53,0;67,6;;;
52;Vague 2 : 30 mars-1 avr;17,9;11,9;25,9;14,6;9,2;22,2;57,2;48,0;65,9;;;
53;Vague 2 : 30 mars-1 avr;19,3;12,9;27,8;21,4;14,6;30,2;63,3;53,7;71,9;;;
75;Vague 2 : 30 mars-1 avr;17,9;13,0;24,1;17,8;13,0;24,1;60,1;53,0;66,9;;;
76;Vague 2 : 30 mars-1 avr;26,1;20,2;32,9;23,5;17,9;30,3;58,1;50,8;65,1;;;
84;Vague 2 : 30 mars-1 avr;22,9;18,1;28,6;18,5;14,2;23,8;62,2;56,0;68,1;;;
93;Vague 2 : 30 mars-1 avr;21,6;15,9;28,6;17,2;12,1;23,9;61,7;54,7;68,9;;;
11;Vague 3 : 14-16 avr;17,8;14,0;22,2;20,3;16,4;25,0;62,1;56,8;67,1;;;
24;Vague 3 : 14-16 avr;22,8;15,0;33,1;18,5;11,6;28,3;67,7;57,0;76,9;;;
27;Vague 3 : 14-16 avr;17,5;11,0;26,7;18,0;11,3;27,5;61,4;51,1;70,8;;;
28;Vague 3 : 14-16 avr;26,0;18,5;35,4;19,5;13,0;28,2;72,2;62,8;80,0;;;
32;Vague 3 : 14-16 avr;22,8;17,4;29,3;20,0;14,9;26,3;68,5;61,6;74,7;;;
44;Vague 3 : 14-16 avr;16,8;12,0;22,9;17,5;12,6;23,9;63,4;56,0;70,2;;;
52;Vague 3 : 14-16 avr;17,6;11,8;25,3;13,8;8,7;21,1;65,5;56,7;73,5;;;
53;Vague 3 : 14-16 avr;15,3;9,6;23,7;18,6;12,2;27,4;64,9;55,4;73,4;;;
75;Vague 3 : 14-16 avr;18,1;13,3;24,1;18,4;13,6;24,4;67,6;60,8;73,8;;;
76;Vague 3 : 14-16 avr;17,0;12,0;23,5;18,9;13,5;25,8;57,1;49,5;64,4;;;
84;Vague 3 : 14-16 avr;15,8;11,8;20,8;11,9;8,4;16,5;59,5;53,4;65,4;;;
93;Vague 3 : 14-16 avr;15,2;10,4;21,7;15,1;10,3;21,5;62,6;54,9;69,8;;;
11;Vague 4 : 20-22 avr;16,7;13,1;21,0;19,2;15,4;23,6;64,6;64,6;69,4;;;
24;Vague 4 : 20-22 avr;16,1;9,6;25,8;23,5;15,6;33,8;71,4;71,4;80,1;;;
27;Vague 4 : 20-22 avr;18,9;12,2;28,0;21,8;14,5;31,2;65,3;65,3;74,2;;;
28;Vague 4 : 20-22 avr;14,9;9,1;23,4;18,4;11,8;27,4;66,7;66,7;75,2;;;
32;Vague 4 : 20-22 avr;24,9;19,2;31,7;18,8;13,8;15,0;72,0;72,0;78,0;;;
44;Vague 4 : 20-22 avr;24,9;18,8;32,1;25,8;19,6;33,0;64,4;64,4;71,3;;;
52;Vague 4 : 20-22 avr;20,5;14,1;28,8;24,2;17,2;32,9;65,2;65,2;73,4;;;
53;Vague 4 : 20-22 avr;15,3;9,5;23,7;22,4;15,3;31,6;71,4;71,4;79,1;;;
75;Vague 4 : 20-22 avr;17,2;12,3;23,6;14,5;10,0;20,5;60,8;60,8;67,8;;;
76;Vague 4 : 20-22 avr;19,3;14,2;25,7;18,3;13,4;24,5;67,1;67,1;73,4;;;
84;Vague 4 : 20-22 avr;20,5;15,9;26,0;21,9;17,2;27,5;71,7;71,7;76,9;;;
93;Vague 4 : 20-22 avr;14,6;9,8;21,2;21,6;15,8;28,9;64,7;64,8;72,0;;;
11;Vague 5 : 28-30 avr;21,5;17,4;26,1;21,3;17,3;25,9;69,3;64,3;73,9;;;
24;Vague 5 : 28-30 avr;18,3;11,5;27,9;12,8;7,2;21,8;67,5;56,9;76,6;;;
27;Vague 5 : 28-30 avr;15,9;9,9;24,6;22,3;15,0;32,0;70,0;60,1;78,4;;;
28;Vague 5 : 28-30 avr;28,3;20,4;37,8;25,8;18,2;35,2;74,8;65,8;82,1;;;
32;Vague 5 : 28-30 avr;16,3;11,7;22,2;15,6;11,0;21,6;68,0;60,9;74,3;;;
44;Vague 5 : 28-30 avr;19,8;14,1;27,2;23,5;17,4;30,9;65,4;57,4;72,6;;;
52;Vague 5 : 28-30 avr;13,3;8,3;20,7;16,4;10,7;24,4;58,3;49,2;66,8;;;
53;Vague 5 : 28-30 avr;13,5;8,3;21,3;18,3;12,1;16,8;64,5;55,0;73,0;;;
75;Vague 5 : 28-30 avr;15,3;10,7;21,3;14,2;9,9;20,0;59,5;52,4;66,2;;;
76;Vague 5 : 28-30 avr;18,0;12,7;24,9;22,8;16,7;30,3;66,1;58,2;73,2;;;
84;Vague 5 : 28-30 avr;17,7;13,4;23,0;18,1;13,8;23,4;68,0;62,1;73,5;;;
93;Vague 5 : 28-30 avr;15,3;10,6;21,6;18,3;13,1;25,0;59,5;51,9;66,8;;;
11;Vague 6 : 4-6 mai;15,8;12,4;19,9;19,8;16,0;24,3;64,6;59,5;69,4;;;
24;Vague 6 : 4-6 mai;12,2;6,9;20,8;18,1;11,4;27,6;68,2;57,8;77,1;;;
27;Vague 6 : 4-6 mai;20,7;13,4;30,6;15,8;9,6;25,0;72,6;62,2;80,9;;;
28;Vague 6 : 4-6 mai;18,9;12,0;28,4;25,1;17,4;35,5;71,2;61,1;79,5;;;
32;Vague 6 : 4-6 mai;20,4;15,3;26,7;22,1;16,8;28,5;67,8;60,8;74,1;;;
44;Vague 6 : 4-6 mai;21,3;15,8;28,2;18,6;13,5;25,2;59,7;52,2;66,8;;;
52;Vague 6 : 4-6 mai;19,6;13,5;27,6;19,4;13,2;27,5;58,6;49,7;67,0;;;
53;Vague 6 : 4-6 mai;19,2;12,8;27,7;15,9;10,2;23,9;65,0;55,6;73,4;;;
75;Vague 6 : 4-6 mai;18,3;13,2;25,0;18,7;13,5;25,5;64,3;56,7;71,3;;;
76;Vague 6 : 4-6 mai;16,0;11,2;22,3;12,4;8,3;18,1;71,5;64,4;77,7;;;
84;Vague 6 : 4-6 mai;20,1;15,6;25,5;19,3;14,9;24,7;68,8;62,9;74,1;;;
93;Vague 6 : 4-6 mai;19,2;13,9;25,9;16,0;11,1;22,6;66,4;58,9;73,1;;;
11;Vague 7 : 13-15 mai;17,8;14,1;22,3;14,4;11,1;18,6;69,1;64,0;73,8;;;
24;Vague 7 : 13-15 mai;16,9;9,7;27,7;12,6;6,6;22,8;74,4;63,7;82,8;;;
27;Vague 7 : 13-15 mai;17,7;10,8;27,6;10,4;5,7;18,2;73,0;63,1;81,0;;;
28;Vague 7 : 13-15 mai;13,8;8,2;22,3;17,5;11,2;26,4;60,1;49,9;69,5;;;
32;Vague 7 : 13-15 mai;22,1;16,5;29,0;18,6;13,6;25,0;68,7;61,4;75,2;;;
44;Vague 7 : 13-15 mai;17,5;12,5;23,9;16,2;11,3;22,7;60,9;53,3;68,0;;;
52;Vague 7 : 13-15 mai;23,0;16,2;31,6;13,6;8,3;21,4;73,2;64,4;80,5;;;
53;Vague 7 : 13-15 mai;17,5;11,4;25,9;10,4;5,9;17,8;64,6;55,0;73,1;;;
75;Vague 7 : 13-15 mai;15,4;10,5;22,0;11,3;7,3;17,1;71,8;64,2;78,3;;;
76;Vague 7 : 13-15 mai;12,6;8,5;18,2;14,4;9,9;20,4;64,3;56,9;71,0;;;
84;Vague 7 : 13-15 mai;17,6;13,2;23,1;12,9;9,3;17,8;65,0;58,7;70,8;;;
93;Vague 7 : 13-15 mai;19,3;13,9;26,3;13,9;9,3;20,3;64,2;56,4;71,4;;;
11;Vague 8 : 18-20 mai;15,9;12,5;20,0;13,0;10,0;16,9;61,1;55,9;66,0;;;
24;Vague 8 : 18-20 mai;16,9;10,2;26,6;8,2;3,9;16,2;59,0;47,9;69,2;;;
27;Vague 8 : 18-20 mai;20,6;13,8;29,7;9,5;5,1;16,8;61,1;51,1;70,3;;;
28;Vague 8 : 18-20 mai;16,0;10,2;24,2;10,6;6,1;17,8;64,2;54,8;72,7;;;
32;Vague 8 : 18-20 mai;18,9;13,7;25,4;13,1;8,8;19,0;64,7;57,2;71,6;;;
44;Vague 8 : 18-20 mai;19,7;14,1;26,7;10,3;6,3;16,2;68,8;61,0;75,7;;;
52;Vague 8 : 18-20 mai;15,6;10,1;23,3;13,9;8,8;21,2;59,6;50,6;68,0;;;
53;Vague 8 : 18-20 mai;14,9;9,5;22,8;10,6;6,1;17,8;62,0;52,6;70,7;;;
75;Vague 8 : 18-20 mai;17,6;12,7;23,9;11,9;8,0;17,5;59,5;52,3;66,4;;;
76;Vague 8 : 18-20 mai;18,6;13,6;25,0;13,3;9,2;19,0;66,9;59,7;73,4;;;
84;Vague 8 : 18-20 mai;15,2;11,2;20,2;12,7;9,1;17,6;63,9;57,6;69,7;;;
93;Vague 8 : 18-20 mai;14,5;9,5;21,6;12,3;7,8;18,8;60,4;52,2;68,0;;;
11;Vague 9 : 27-29 mai;18,0;14,3;22,4;15,2;11,8;19,4;69,3;64,4;73,9;;;
24;Vague 9 : 27-29 mai;13,6;7,6;23,2;10,9;5,7;19,8;75,7;65,4;83,7;;;
27;Vague 9 : 27-29 mai;15,3;8,9;25,3;10,4;5,3;19,5;70,5;59,6;79,5;;;
28;Vague 9 : 27-29 mai;25,0;17,8;33,9;16,7;10,9;24,9;69,5;60,5;77,2;;;
32;Vague 9 : 27-29 mai;23,6;18,1;30,1;14,1;9,8;19,8;71,8;64,9;77,8;;;
44;Vague 9 : 27-29 mai;20,6;15,1;27,5;12,1;7,8;18,1;62,2;54,5;69,3;;;
52;Vague 9 : 27-29 mai;11,7;7,0;18,9;9,1;4,9;16,3;58,6;49,6;67,1;;;
53;Vague 9 : 27-29 mai;13,1;7,7;21,4;7,8;3,9;15,0;52,0;42,4;61,4;;;
75;Vague 9 : 27-29 mai;11,9;7,8;17,7;11,4;7,5;16,9;63,7;56,4;70,5;;;
76;Vague 9 : 27-29 mai;19,4;14,1;26,0;13,9;9,4;20,0;67,7;60,4;74,2;;;
84;Vague 9 : 27-29 mai;10,6;7,2;15,4;9,4;6,2;13,9;66,8;60,4;72,6;;;
93;Vague 9 : 27-29 mai;13,6;9,1;19,8;11,3;7,3;17,1;62,3;54,6;69,5;;;
11;Vague 10 : 8-10 juin;18,8;15,1;23,3;13,9;10,8;17,9;64,9;59,8;69,7;;;
24;Vague 10 : 8-10 juin;13,9;8,0;23,1;8,5;4,1;16,9;71,2;60,7;79,8;;;
27;Vague 10 : 8-10 juin;13,3;7,9;21,8;9,4;4,9;17,1;63,8;53,3;73,1;;;
28;Vague 10 : 8-10 juin;15,5;9,5;24,2;9,5;4,9;17,5;64,1;54,0;73,1;;;
32;Vague 10 : 8-10 juin;18,4;13,5;24,7;12,5;8,5;18,1;69,1;62,8;75,4;;;
44;Vague 10 : 8-10 juin;17,6;12,4;24,5;11,8;7,7;17,7;65,4;57,8;72,3;;;
52;Vague 10 : 8-10 juin;16,6;10,9;24,5;11,3;6,7;18,2;58,8;49,9;67,2;;;
53;Vague 10 : 8-10 juin;8,1;4,3;15,0;7,2;3,6;13,8;54,7;45,2;63,9;;;
75;Vague 10 : 8-10 juin;13,5;9,5;19,0;9,5;6,2;14,3;60,5;53,4;67,1;;;
76;Vague 10 : 8-10 juin;12,2;8,0;18,1;9,8;6,1;15,3;66,1;58,7;72,7;;;
84;Vague 10 : 8-10 juin;16,7;12,5;22,1;14,9;10,9;20,1;65,7;59,6;71,4;;;
93;Vague 10 : 8-10 juin;17,8;12,3;25,0;9,1;5,5;14,9;65,8;57,6;73,2;;;
11;Vague 11 : 22-24 juin;14,4;11,0;18,5;13,6;10,3;17,6;58,3;53,1;63,3;;;
24;Vague 11 : 22-24 juin;15,6;9,2;25,3;6,1;2,5;13,9;56,0;45,0;66,5;;;
27;Vague 11 : 22-24 juin;12,3;7,1;20,5;9,2;4,8;16,7;64,6;54,4;73,5;;;
28;Vague 11 : 22-24 juin;15,2;9,5;23,4;7,3;3,7;14,0;67,7;57,8;76,3;;;
32;Vague 11 : 22-24 juin;19,7;14,6;26,1;12,6;8,5;18,3;70,5;63,5;76,7;;;
44;Vague 11 : 22-24 juin;15,3;10,5;21,8;14,5;9,8;20,9;57,3;49,6;64,7;;;
52;Vague 11 : 22-24 juin;14,3;9,1;21,8;7,8;4,0;14,5;63,1;54,2;71,3;;;
53;Vague 11 : 22-24 juin;16,2;10,3;24,6;13,8;8,3;22,0;59,6;50,0;68,5;;;
75;Vague 11 : 22-24 juin;17,2;12,3;23,4;10,0;6,2;15,5;61,4;53,9;68,4;;;
76;Vague 11 : 22-24 juin;10,8;7,1;16,3;8,5;5,2;13,6;59,5;52,1;66,4;;;
84;Vague 11 : 22-24 juin;14,0;10,3;18,8;10,5;7,3;14,9;63,3;57,2;69,0;;;
93;Vague 11 : 22-24 juin;16,3;11,3;22,9;12,7;8,3;18,9;69,9;62,2;76,7;;;
11;Vague 12 : 6-8 juillet;19,8;16,0;24,3;13,3;10,1;17,4;67,8;62,8;72,5;;;
24;Vague 12 : 6-8 juillet;19,7;12,3;30,1;8,4;4,2;16,1;64,3;53,6;73,7;;;
27;Vague 12 : 6-8 juillet;19,4;11,5;30,8;11,0;5,2;21,7;72,0;60,0;81,5;;;
28;Vague 12 : 6-8 juillet;16,3;10,4;24,6;8,8;4,7;15,7;78,5;69,5;85,5;;;
32;Vague 12 : 6-8 juillet;20,0;14,9;26,2;13,4;9,3;19,0;63,4;56,4;69,9;;;
44;Vague 12 : 6-8 juillet;20,4;14,6;27,7;9,9;6,2;15,5;67,2;59,5;74,0;;;
52;Vague 12 : 6-8 juillet;12,7;8,1;19,4;10,3;6,1;16,9;66,6;57,8;74,4;;;
53;Vague 12 : 6-8 juillet;12,5;7,5;20,2;4,7;1,9;10,8;57,8;48,5;66,5;;;
75;Vague 12 : 6-8 juillet;11,7;7,8;17,3;6,6;3,8;11,1;56,1;48,6;63,3;;;
76;Vague 12 : 6-8 juillet;16,9;11,9;23,5;10,2;6,4;15,7;64,9;57,5;71,7;;;
84;Vague 12 : 6-8 juillet;16,8;12,4;22,4;11,8;8,2;16,7;62,8;56,3;69,0;;;
93;Vague 12 : 6-8 juillet;14,2;9,5;20,8;11,3;7,0;17,9;67,3;59,3;74,4;;;
11;Vague 13 : 20-22 juillet;19,1;15,4;23,4;15,5;12,1;19,5;67,4;62,4;72,0;;;
24;Vague 13 : 20-22 juillet;11,7;6,4;20,5;11,7;6,3;20,7;68,9;58,0;78,1;;;
27;Vague 13 : 20-22 juillet;13,3;7,6;22,3;8,8;4,3;17,1;54,5;43,6;65,0;;;
28;Vague 13 : 20-22 juillet;22,9;15,4;32,5;10,8;6,0;18,8;57,7;47,6;67,2;;;
32;Vague 13 : 20-22 juillet;21,0;15,7;27,6;13,3;9,0;19,0;72,0;65,1;78,0;;;
44;Vague 13 : 20-22 juillet;17,6;12,7;24,0;11,4;7,5;17,1;64,7;57,1;71,7;;;
52;Vague 13 : 20-22 juillet;14,5;9,1;22,2;6,8;3,4;13,2;69,5;60,5;77,3;;;
53;Vague 13 : 20-22 juillet;20,1;13,5;28,8;12,5;7,6;19,9;58,7;49,2;67,6;;;
75;Vague 13 : 20-22 juillet;14,5;9,8;21,0;9,7;6,2;15,0;60,7;52,9;68,0;;;
76;Vague 13 : 20-22 juillet;17,1;11,9;23,9;9,9;6,1;15,8;67,1;59,4;73,9;;;
84;Vague 13 : 20-22 juillet;16,4;12,1;21,8;10,2;6,8;15,0;61,1;54,6;67,3;;;
93;Vague 13 : 20-22 juillet;18,4;13,1;25,3;12,6;8,2;18,8;59,2;51,7;66,4;;;
11;Vague 14 : 24-26 aot;14,9;11,5;19,3;11,2;8,3;15,1;64,7;59,5;69,6;;;
24;Vague 14 : 24-26 aot;14,6;8,6;23,8;13,4;7,4;23,0;57,5;46,5;67,8;;;
27;Vague 14 : 24-26 aot;12,0;6,7;20,5;10,9;5,9;19,2;59,2;49,0;68,7;;;
28;Vague 14 : 24-26 aot;14,7;8,9;23,3;7,3;3,7;14,1;70,5;60,6;78,9;;;
32;Vague 14 : 24-26 aot;26,9;20,8;34,0;17,1;12,3;23,2;70,2;63,2;76,4;;;
44;Vague 14 : 24-26 aot;23,9;18,1;30,9;15,6;11,1;21,6;68,5;61,0;75,1;;;
52;Vague 14 : 24-26 aot;23,9;17,0;32,5;15,1;9,8;22,6;73,0;64,3;80,2;;;
53;Vague 14 : 24-26 aot;13,8;8,2;22,4;13,8;8,4;21,8;64,8;55,7;73,4;;;
75;Vague 14 : 24-26 aot;16,8;11,9;23,1;8,9;5,5;13,9;62,6;55,7;69,6;;;
76;Vague 14 : 24-26 aot;17,4;12,3;24,2;11,4;7,4;17,1;58,2;50,5;65,5;;;
84;Vague 14 : 24-26 aot;14,7;10,3;30,4;9,4;6,2;13,9;66,1;59,5;72,2;;;
93;Vague 14 : 24-26 aot;14,9;10,2;21,2;8,7;5,3;13,8;57,3;49,6;64,6;;;
11;Vague 15 : 21-23 sept.;18,4;14,5;23,1;13,0;9,6;17,3;64,3;59,0;69,4;;;
24;Vague 15 : 21-23 sept.;18,2;11,5;27,7;10,5;5,6;18,6;69,3;58,5;78,3;;;
27;Vague 15 : 21-23 sept.;18,8;12,1;27,9;8,2;4,3;15,1;61,0;50,3;70,8;;;
28;Vague 15 : 21-23 sept.;18,1;11,6;27,1;15,6;9,3;25,0;63,0;53,0;71,9;;;
32;Vague 15 : 21-23 sept.;22,4;16,8;29,2;7,6;4,4;12,6;75,5;68,9;81,0;;;
44;Vague 15 : 21-23 sept.;15,0;10,3;21,4;10,8;6,9;16,3;66,3;58,7;73,2;;;
52;Vague 15 : 21-23 sept.;23,7;16,4;33,0;13,3;8,3;20,7;68,0;59,2;75,7;;;
53;Vague 15 : 21-23 sept.;16,9;11,0;25,3;10,5;6,2;17,4;67,4;58,2;75,5;;;
75;Vague 15 : 21-23 sept.;18,9;13,6;25,7;10,4;6,4;16,3;69,5;62,1;76,0;;;
76;Vague 15 : 21-23 sept.;22,5;16,8;29,3;13,7;9,3;19,7;64,0;56,9;70,6;;;
