reg;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;ps12mois;ps12mois_inf;ps12mois_sup
84;Vague 15 : 21-23 sept.;14,2;10,2;19,5;8,5;5,6;12,7;61,0;54,6;67,1;;;
93;Vague 15 : 21-23 sept.;11,0;6,8;17,4;8,8;5,2;14,5;62,7;54,7;70,1;;;
11;Vague 16 : 19-21 oct.;16,9;13,3;21,3;20,2;16,2;24,8;65,3;60,2;70,1;;;
24;Vague 16 : 19-21 oct.;13,2;7,4;22,6;12,3;6,6;21,8;63,2;52,3;72,9;;;
27;Vague 16 : 19-21 oct.;15,3;9,3;23,9;10,9;6,1;18,7;63,7;53,2;73,0;;;
28;Vague 16 : 19-21 oct.;23,3;16,2;32,3;16,7;10,6;25,3;64,9;55,4;73,4;;;
32;Vague 16 : 19-21 oct.;23,3;17,8;29,9;18,9;13,9;25,2;61,3;53,9;68,2;;;
44;Vague 16 : 19-21 oct.;20,9;15,4;27,6;14,0;9,6;20,1;62,0;54,4;69,1;;;
52;Vague 16 : 19-21 oct.;16,4;10,7;24,2;8,2;4,4;14,6;64,8;55,6;73,0;;;
53;Vague 16 : 19-21 oct.;21,5;14,8;30,2;17,1;11,2;25,2;57,1;47,5;66,3;;;
75;Vague 16 : 19-21 oct.;14,5;10,1;20,3;13,8;9,6;19,6;64,0;56,7;70,7;;;
76;Vague 16 : 19-21 oct.;22,0;16,5;28,7;18,5;13,4;24,9;66,2;59,7;72,7;;;
84;Vague 16 : 19-21 oct.;20,1;15,4;25,8;13,3;9,5;18,3;68,8;62,5;74,5;;;
93;Vague 16 : 19-21 oct.;20,6;14,7;28,1;12,3;7,9;18,8;66,2;58,0;73,5;;;
11;Vague 17 : 4-6 nov.;17,4;13,8;21,8;19,7;15,8;24,3;62,1;56,8;67,1;;;
24;Vague 17 : 4-6 nov.;14,5;8,6;23,5;18,3;11,4;27,9;69,6;59,1;78,4;;;
27;Vague 17 : 4-6 nov.;23,0;15,3;33,1;21,6;14,3;31,4;55,3;44,9;65,2;;;
28;Vague 17 : 4-6 nov.;33,1;24,1;43,6;20,8;13,5;30,8;69,0;58,7;77,7;;;
32;Vague 17 : 4-6 nov.;23,7;18,2;30,3;25,9;20,2;32,6;70,3;63,5;76,3;;;
44;Vague 17 : 4-6 nov.;21,9;16,2;29,0;20,4;14,9;27,3;53,3;45,5;61,0;;;
52;Vague 17 : 4-6 nov.;22,4;15,8;30,8;18,0;12,1;25,9;67,8;59,0;75,5;;;
53;Vague 17 : 4-6 nov.;22,8;15,8;31,8;20,4;13,7;29,1;62,8;53,3;71,4;;;
75;Vague 17 : 4-6 nov.;20,5;15,4;26,9;25,4;19,7;32,2;68,0;60,9;74,3;;;
76;Vague 17 : 4-6 nov.;16,5;11,5;22,9;16,5;11,7;22,6;64,1;56,8;70,8;;;
84;Vague 17 : 4-6 nov.;17,9;13,6;23,4;17,5;13,2;22,8;55,9;49,5;62,1;;;
93;Vague 17 : 4-6 nov.;25,1;19,0;32,3;23,1;17,3;30,1;65,7;58,3;72,5;;;
11;Vague 18 : 23-25 nov.;18,4;14,8;22,7;22,7;18,7;27,3;71,3;66,5;75,7;;;
24;Vague 18 : 23-25 nov.;15,4;9,4;24,1;17,3;10,9;26,3;70,1;59,7;78,7;;;
27;Vague 18 : 23-25 nov.;16,4;10,2;25,2;18,6;11,8;28,2;66,1;56,1;74,9;;;
28;Vague 18 : 23-25 nov.;21,9;14,6;31,4;18,6;12,1;27,6;66,5;56,6;75,2;;;
32;Vague 18 : 23-25 nov.;25,7;20,0;32,4;27,9;21,9;34,8;71,8;64,6;78,0;;;
44;Vague 18 : 23-25 nov.;18,5;13,1;25,6;26,1;19,6;33,8;60,3;52,3;67,7;;;
52;Vague 18 : 23-25 nov.;10,1;5,8;17,1;19,8;13,6;27,9;58,9;50,0;67,3;;;
53;Vague 18 : 23-25 nov.;17,6;11,1;26,8;17,2;11,2;25,6;64,0;54,4;72,5;;;
75;Vague 18 : 23-25 nov.;15,3;10,9;21,2;21,7;16,3;28,4;66,1;59,0;72,5;;;
76;Vague 18 : 23-25 nov.;18,6;13,3;25,3;25,5;19,4;32,6;62,8;55,2;69,9;;;
84;Vague 18 : 23-25 nov.;15,9;11,7;21,3;21,9;17,1;27,7;61,6;55,3;67,6;;;
93;Vague 18 : 23-25 nov.;25,8;19,3;33,5;23,6;17,5;31,0;63,9;55,9;71,3;;;
11;Vague 19 : 14-16 dec..;16,7;13,2;21,0;21,9;17,8;26,6;66,1;60,9;70,9;;;
24;Vague 19 : 14-16 dec..;15,9;9,9;24,5;20,2;13,4;29,3;58,7;48,4;68,3;;;
27;Vague 19 : 14-16 dec..;19,4;12,3;29,2;23,2;15,4;33,5;68,4;57,5;77,6;;;
28;Vague 19 : 14-16 dec..;27,9;19,9;37,6;29,6;21,4;39,3;66,3;56,3;75,0;;;
32;Vague 19 : 14-16 dec..;29,0;23,1;35,8;22,3;17,1;28,6;72,1;65,5;77,9;;;
44;Vague 19 : 14-16 dec..;19,8;14,6;26,4;21,5;16,0;28,3;65,9;58,4;72,8;;;
52;Vague 19 : 14-16 dec..;17,3;11,6;25,1;15,0;9,5;22,7;65,8;56,8;73,8;;;
53;Vague 19 : 14-16 dec..;14,8;9,3;22,6;8,7;4,7;15,6;54,4;44,8;63,6;;;
75;Vague 19 : 14-16 dec..;15,6;11,1;21,4;21,0;15,8;27,4;69,9;62,9;76,1;;;
76;Vague 19 : 14-16 dec..;23,6;17,9;30,4;26,3;20,2;33,5;67,1;59,8;73,6;;;
84;Vague 19 : 14-16 dec..;22,6;17,7;28,5;15,0;10,9;20,1;69,2;62,9;74,9;;;
93;Vague 19 : 14-16 dec..;20,2;14,5;27,4;19,6;14,1;26,6;60,3;52,2;67,9;;;
11;Vague 20 : 18-20 janv.;21,1;17,0;25,9;18,0;14,2;22,5;70,0;64,8;74,7;;;
24;Vague 20 : 18-20 janv.;13,6;8,0;22,4;18,4;11,4;28,3;66,0;55,1;75,5;;;
27;Vague 20 : 18-20 janv.;19,2;12,4;28,7;9,3;5,0;16,7;65,2;54,7;74,4;;;
28;Vague 20 : 18-20 janv.;22,7;15,7;31,5;23,6;16,5;32,6;75,1;66,0;82,4;;;
32;Vague 20 : 18-20 janv.;20,0;15,0;26,2;19,0;14,0;25,1;64,8;57,6;71,3;;;
44;Vague 20 : 18-20 janv.;19,3;14,1;26,0;25,0;19,1;32,1;69,6;62,3;76,0;;;
52;Vague 20 : 18-20 janv.;22,8;16,3;31,4;27,3;20,0;36,1;72,3;63,7;79,6;;;
53;Vague 20 : 18-20 janv.;22,7;15,9;31,4;22,6;15,6;31,6;67,8;58,4;76,0;;;
75;Vague 20 : 18-20 janv.;17,8;12,8;24,3;22,7;17,1;29,6;67,0;59,8;73,5;;;
76;Vague 20 : 18-20 janv.;19,0;13,8;25,7;15,9;11,2;22,3;64,2;56,6;71,1;;;
84;Vague 20 : 18-20 janv.;14,7;10,9;19,6;16,3;12,2;21,5;59,0;52,6;65,1;;;
93;Vague 20 : 18-20 janv.;18,4;13,0;25,5;18,5;12,9;25,7;67,1;58,9;74,4;;;
11;Vague 21 : 15-17 fv.;24,1;19,8;29,1;20,5;16,5;25,1;66,8;61,6;71,6;8,1;5,6;11,5
24;Vague 21 : 15-17 fv.;23,7;15,6;34,3;23,6;15,7;34,0;72,9;62,2;81,5;9,5;4,8;18,1
27;Vague 21 : 15-17 fv.;28,8;20,2;39,4;21,7;14,2;31,7;68,3;57,9;77,1;13,0;7,3;22,0
28;Vague 21 : 15-17 fv.;20,5;14,1;29,0;28,3;20,8;37,4;69,7;60,5;77,6;12,1;7,3;19,5
32;Vague 21 : 15-17 fv.;27,5;21,6;34,3;28,0;22,1;34,8;63,2;56,0;69,8;7,3;4,3;12,0
44;Vague 21 : 15-17 fv.;25,4;19,3;32,8;27,8;21,3;35,4;62,6;54,7;69,9;9,9;6,2;15,4
52;Vague 21 : 15-17 fv.;14,9;9,4;22,7;18,0;12,0;26,2;60,5;51,3;69,0;6,8;3,4;13,1
53;Vague 21 : 15-17 fv.;15,8;10,0;24,0;19,3;12,7;28,1;70,7;61,4;78,5;4,7;2,0;10,8
75;Vague 21 : 15-17 fv.;20,1;14,7;26,9;24,0;18,5;30,7;67,8;60,7;74,2;10,1;6,3;16,0
76;Vague 21 : 15-17 fv.;22,4;16,9;29,1;20,0;14,8;26,5;68,0;60,7;74,4;7,0;4,1;11,7
84;Vague 21 : 15-17 fv.;23,7;18,7;29,5;23,9;19,0;29,7;60,6;54,3;66,6;6,6;4,1;10,4
93;Vague 21 : 15-17 fv.;20,2;14,7;27,2;17,3;12,3;23,9;65,7;57,8;72,7;7,2;4,1;12,4
11;Vague 22 : 15-17 mars;21,4;17,5;26,0;19,7;15,9;24,2;66,3;61,3;71,0;8,8;6,2;12,4
24;Vague 22 : 15-17 mars;20,3;12,7;30,7;22,3;14,4;32,9;65,0;53,8;74,8;8,8;4,2;17,5
27;Vague 22 : 15-17 mars;24,1;16,4;34,1;19,1;12,2;28,6;70,9;60,8;79,3;13,0;7,3;22,1
28;Vague 22 : 15-17 mars;24,3;16,6;34,1;18,0;11,4;27,2;66,4;56,1;75,3;7,6;3,6;15,1
32;Vague 22 : 15-17 mars;29,1;23,0;36,2;28,1;22,1;35,0;70,8;63,9;76,9;10,2;6,5;15,8
44;Vague 22 : 15-17 mars;24,6;18,8;31,5;21,7;16,3;28,3;67,4;60,1;73,9;4,8;2,4;9,3
52;Vague 22 : 15-17 mars;14,4;8,8;22,6;13,8;8,3;22,1;56,9;47,0;66,3;7,1;3,3;14,5
53;Vague 22 : 15-17 mars;15,8;10,1;23,9;20,6;13,9;29,4;59,9;50,3;68,8;9,2;5,0;16,5
75;Vague 22 : 15-17 mars;18,7;13,7;25,0;19,5;14,3;25,9;62,9;55,6;69,6;11,8;7,8;17,3
76;Vague 22 : 15-17 mars;18,7;13,7;25,0;18,3;13,3;24,6;65,1;57,9;71,7;9,1;5,6;14,5
84;Vague 22 : 15-17 mars;21,6;16,9;27,3;22,2;17,3;28,0;67,1;60,9;72,7;8,1;5,2;12,5
93;Vague 22 : 15-17 mars;12,5;8,0;18,8;16,2;11,0;23,1;61,1;52,9;68,7;10,0;6,1;16,0
11;Vague 23 : 21-23 avril;26,8;22,3;31,9;22,4;18,3;27,2;66,0;60,8;70,9;8,5;5,8;12,4
24;Vague 23 : 21-23 avril;13,8;7,7;23,4;16,2;9,8;25,7;66,9;55,9;76,4;4,9;1,8;12,4
27;Vague 23 : 21-23 avril;24,2;16,2;34,5;27,1;18,6;37,7;65,2;54,7;74,4;15,0;8,8;24,5
28;Vague 23 : 21-23 avril;23,8;16,1;33,6;23,3;15,8;33,1;67,3;57,2;76,1;12,7;7,0;21,8
32;Vague 23 : 21-23 avril;27,4;21,4;34,2;28,5;22,5;35,4;70,8;63,8;76,9;10,8;7,0;16,3
44;Vague 23 : 21-23 avril;24,3;18,4;31,3;26,7;20,7;33,7;68,4;61,1;74,9;8,9;5,6;13,9
52;Vague 23 : 21-23 avril;17,4;11,6;25,4;17,8;11,9;25,8;61,1;51,9;69,7;10,1;5,6;17,6
53;Vague 23 : 21-23 avril;13,3;8,1;21,0;16,2;10,4;24,5;57,6;47,6;67,0;7,2;3,4;14,7
75;Vague 23 : 21-23 avril;17,6;12,9;23,6;18,5;13,6;24,6;60,8;53,5;67,6;8,4;5,3;13,2
76;Vague 23 : 21-23 avril;24,7;18,8;31,8;24,2;18,3;31,2;60,3;52,7;67,4;11,4;7,3;17,5
84;Vague 23 : 21-23 avril;20,9;16,1;26,7;18,5;14,1;24,1;60,5;54,0;66,6;8,8;5,8;13,2
93;Vague 23 : 21-23 avril;20,0;14,4;27,0;21,9;16,1;29,2;62,5;54,6;69,8;7,9;4,5;13,3
11;Vague 24 : 17-19 mai;21,9;17,7;26,8;18,7;14,8;23,4;62,7;57,3;66,8;8,6;5,9;12,4
24;Vague 24 : 17-19 mai;20,9;13,2;31,3;14,2;8,1;23,9;60,1;49,1;70,2;9,0;4,2;18,0
27;Vague 24 : 17-19 mai;18,1;11,6;27,2;16,0;9,7;25,3;59,6;49,2;69,2;9,1;4,8;16,8
28;Vague 24 : 17-19 mai;20,9;14,1;29,9;19,5;12,8;28,7;62,6;53,1;71,3;4,7;1,9;11,2
32;Vague 24 : 17-19 mai;21,1;15,8;27,5;19,5;14,3;25,8;65,9;58,8;72,3;7,1;4,2;11,7
44;Vague 24 : 17-19 mai;17,8;12,8;24,3;18,7;13,4;25,4;64,2;56,6;71,2;5,9;3,3;10,6
52;Vague 24 : 17-19 mai;20,3;14,0;28,5;14,2;9,0;21,6;60,4;51,5;68,6;9,8;5,7;16,4
53;Vague 24 : 17-19 mai;17,0;10,7;26,1;10,3;5,8;17,6;60,8;50,7;70,1;10,0;5,6;17,1
75;Vague 24 : 17-19 mai;21,3;15,8;28,0;17,2;12,3;23,7;63,7;56,4;70,4;8,7;5,3;13,9
76;Vague 24 : 17-19 mai;22,3;16,6;29,2;21,8;16,4;28,4;62,6;55,1;69,6;9,1;5,7;14,1
84;Vague 24 : 17-19 mai;23,3;18,1;29,4;24,3;19,0;30,6;70,9;64,7;76,5;9,9;6,5;14,8
93;Vague 24 : 17-19 mai;16,5;11,3;23,4;23,1;17,1;30,6;61,0;52,9;68,6;9,5;5,7;15,5
11;Vague 25 : 21-28 juin;20,5;16,5;25,3;17,5;13,8;22,0;72,1;67,1;76,7;8,8;6,2;12,5
24;Vague 25 : 21-28 juin;20,3;12,9;30,4;14,6;8,4;24,2;70,1;59,5;78,9;9,0;4,5;17,2
27;Vague 25 : 21-28 juin;17,1;10,3;27,0;18,3;11,1;28,7;58,7;48,0;69,7;12,1;6,5;21,4
28;Vague 25 : 21-28 juin;20,6;14,0;29,1;14,1;8,6;22,3;63,6;54,2;72,0;12,8;7,7;20,6
32;Vague 25 : 21-28 juin;23,4;17,9;29,8;16,6;11,9;22,7;70,6;63,6;76,7;6,1;3,5;10,2
44;Vague 25 : 21-28 juin;17,5;12,0;23,5;14,4;10,1;20,3;66,6;59,5;73,1;8,6;5,4;13,6
52;Vague 25 : 21-28 juin;15,7;10,2;23,4;11,6;7,0;18,8;58,5;49,5;67,1;9,5;5,4;16,2
53;Vague 25 : 21-28 juin;15,9;10,1;24,3;12,6;7,6;20,2;67,9;58,5;76,0;9,8;5,5;16,9
75;Vague 25 : 21-28 juin;12,6;8,5;18,2;11,0;7,3;16,2;60,6;53,3;67,4;5,2;2,9;9,3
76;Vague 25 : 21-28 juin;24,4;18,7;31,1;16,5;11,7;22,6;65,6;58,4;72,2;10,5;6,8;15,9
84;Vague 25 : 21-28 juin;15,4;11,3;20,8;12,7;8,9;17,8;65,4;58,8;71,4;10,7;7,3;15,4
93;Vague 25 : 21-28 juin;21,9;15,9;29,5;17,8;12,2;25,2;64,7;56,3;72,3;10,3;6,3;16,6
11;Vague 26 : 15-21 juillet;22,5;18,3;27,4;16,0;12,3;20,5;62,2;56,8;67,4;8,5;5,8;12,3
24;Vague 26 : 15-21 juillet;17,2;10,6;26,6;11,1;6,1;19,6;59,1;48,6;68,9;7,6;3,6;15,2
27;Vague 26 : 15-21 juillet;16,0;9,6;25,4;9,1;4,7;16,8;55,1;44,8;65,1;10,2;5,4;18,6
28;Vague 26 : 15-21 juillet;25,8;17,5;36,3;12,3;6,8;21,1;61,6;50,8;71,4;6,8;3,3;13,8
32;Vague 26 : 15-21 juillet;19,6;14,7;25,7;16,1;11,7;21,8;56,6;49,7;63,3;7,1;4,2;11,9
44;Vague 26 : 15-21 juillet;15,8;11,0;22,2;11,7;7,7;17,5;55,1;47,2;62,7;5,8;3,0;11,0
52;Vague 26 : 15-21 juillet;18,0;12,2;25,9;8,0;4,3;14,4;52,1;43,3;60,8;9,5;5,4;16,1
53;Vague 26 : 15-21 juillet;13,9;8,4;22,1;14,8;9,3;22,9;62,3;52,8;71,0;7,3;3,6;14,3
75;Vague 26 : 15-21 juillet;16,7;11,9;22,8;12,7;8,7;18,2;59,4;52,0;66,4;12,0;8,0;17,7
76;Vague 26 : 15-21 juillet;18,0;13,0;24,4;12,1;8,0;18,0;60,2;52,9;67,1;8,4;5,0;13,6
84;Vague 26 : 15-21 juillet;22,3;17,3;28,3;11,1;7,6;15,9;62,1;55,6;68,2;10,6;7,1;15,5
93;Vague 26 : 15-21 juillet;20,1;14,2;27,7;12,6;8,2;18,9;57,0;49,0;64,8;14,0;9,0;21,2
11;Vague 27 : 31 aot-7 sept.;26,7;22,5;31,4;15,7;12,4;19,7;61,5;56,5;66,2;11,7;8,8;15,3
24;Vague 27 : 31 aot-7 sept.;25,1;16,9;35,4;22,0;14,4;32,3;63,0;52,3;72,6;8,2;3,9;16,3
27;Vague 27 : 31 aot-7 sept.;23,5;15,8;33,5;10,4;5,5;18,8;64,7;54,1;74,0;8,3;4,0;16,5
28;Vague 27 : 31 aot-7 sept.;19,7;13,0;28,7;14,5;8,9;22,8;71,9;62,2;79,9;7,8;3,9;14,9
32;Vague 27 : 31 aot-7 sept.;27,5;21,7;34,3;19,0;14,0;25,1;67,0;60,0;73,3;10,2;6,6;15,3
44;Vague 27 : 31 aot-7 sept.;25,2;19,4;32,2;14,7;10,3;20,6;58,1;50,7;65,2;7,7;4,6;12,7
52;Vague 27 : 31 aot-7 sept.;17,2;11,3;25,2;12,9;7,9;20,4;62,3;53,2;70,6;8,8;4,8;15,6
53;Vague 27 : 31 aot-7 sept.;17,4;11,3;25,8;10,6;6,1;17,9;62,3;52,7;71,0;6,7;3,2;13,5
75;Vague 27 : 31 aot-7 sept.;22,3;16,7;29,2;15,4;10,6;21,6;65,1;57,6;71,9;12,3;8,1;18,2
76;Vague 27 : 31 aot-7 sept.;24,7;19,0;31,5;16,0;11,4;22,0;58,7;51,4;65,6;12,8;8,7;18,6
84;Vague 27 : 31 aot-7 sept.;25,3;20,3;31,1;16,5;12,4;21,7;62,2;56,0;68,0;6,9;4,4;10,7
93;Vague 27 : 31 aot-7 sept.;14,5;9,4;21,7;8,5;4,9;14,4;64,8;56,4;72,4;10,8;6,5;17,5
11;Vague 28 : 28 sept.-5 oct.;25,6;21,3;30,4;16,7;13,2;21,0;66,9;61,8;71,7;8,1;5,6;11,5
24;Vague 28 : 28 sept.-5 oct.;24,1;16,3;34,3;10,2;5,4;18,5;64,8;54,1;74,2;13,7;7,7;23,0
27;Vague 28 : 28 sept.-5 oct.;25,4;17,3;35,6;20,6;13,3;30,4;66,7;56,1;75,8;14,2;8,4;23,0
28;Vague 28 : 28 sept.-5 oct.;24,5;17,0;34,1;20,2;13,4;29,3;71,9;62,2;79,9;10,2;5,5;17,9
32;Vague 28 : 28 sept.-5 oct.;30,6;24,5;37,5;15,5;11,1;21,4;78,1;71,6;83,4;12,1;8,2;17,6
44;Vague 28 : 28 sept.-5 oct.;26,5;20,6;33,3;18,0;13,1;24,3;69,2;62,2;75,4;10,5;6,8;15,9
52;Vague 28 : 28 sept.-5 oct.;18,2;12,2;26,4;12,6;7,7;19,9;70,7;61,9;78,2;11,0;6,5;18,0
53;Vague 28 : 28 sept.-5 oct.;30,3;22,4;39,5;16,0;10,2;24,3;66,7;57,3;74,8;10,4;5,8;17,8
75;Vague 28 : 28 sept.-5 oct.;29,5;23,7;36,2;19,9;15,3;26,0;70,8;64,2;76,7;9,4;6,1;14,2
76;Vague 28 : 28 sept.-5 oct.;26,8;21,0;33,6;11,7;7,8;17,1;73,2;66,4;79,1;6,9;4,0;11,5
84;Vague 28 : 28 sept.-5 oct.;25,4;20,1;31,5;15,9;11,7;21,4;69,6;63,3;75,3;7,6;7,8;12,0
93;Vague 28 : 28 sept.-5 oct.;20,6;14,8;27,8;16,6;11,5;23,5;67,0;59,1;74,1;10,0;6,1;15,9